System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02D304"
Last test date,,"Monday, September 16, 2024"
Last test time,,"5:19:06 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"304"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.20"
Grip Diameter,(mm),"12.88"
Rockwell Hardness,,"100.6"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"3.87"
Fracture Notes and Location,,"VERY DUCTILE CUP CONE STRUCTURE. SAMPLE BECAME MAGNETIC AT FAIL SURFACE WHERE IT WASN'T BEFORE"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"28.78"
Maximum Strain,(%),"50.26"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"153.00","10.20","27.00","0.1330"
"153.50","10.23","27.01","0.1336"
"154.00","10.27","27.02","0.1343"
"154.50","10.30","27.04","0.1349"
"155.00","10.33","27.05","0.1355"
"155.50","10.37","27.06","0.1361"
"156.00","10.40","27.07","0.1368"
"156.50","10.43","27.09","0.1374"
"157.00","10.47","27.09","0.1380"
"157.50","10.50","27.11","0.1386"
"158.00","10.53","27.12","0.1393"
"158.50","10.57","27.13","0.1399"
"159.00","10.60","27.15","0.1405"
"159.50","10.63","27.16","0.1412"
"160.00","10.67","27.17","0.1418"
"160.50","10.70","27.18","0.1424"
"161.00","10.73","27.18","0.1431"
"161.50","10.77","27.19","0.1437"
"162.00","10.80","27.21","0.1443"
"162.50","10.83","27.22","0.1449"
"163.00","10.87","27.23","0.1456"
"163.50","10.90","27.24","0.1462"
"164.00","10.93","27.25","0.1468"
"164.50","10.97","27.26","0.1475"
"165.00","11.00","27.28","0.1481"
"165.50","11.03","27.28","0.1487"
"166.00","11.07","27.30","0.1493"
"166.50","11.10","27.31","0.1500"
"167.00","11.13","27.31","0.1506"
"167.50","11.17","27.33","0.1512"
"168.00","11.20","27.33","0.1519"
"168.50","11.23","27.35","0.1525"
"169.00","11.27","27.36","0.1531"
"169.50","11.30","27.36","0.1538"
"170.00","11.33","27.38","0.1544"
"170.50","11.37","27.38","0.1550"
"171.00","11.40","27.39","0.1557"
"171.50","11.43","27.40","0.1563"
